subfolder,notes
a120_b140_h650_px520_py520,UPDATE(duplicata)
a120_b140_h650_px520_py520,
a120_b160_h650_px520_py520,UPDATE(duplicata)
a120_b160_h650_px520_py520,
a120_b180_h650_px520_py520,UPDATE(duplicata)
a120_b180_h650_px520_py520,
a120_b200_h650_px520_py520,UPDATE(duplicata)
a120_b200_h650_px520_py520,
a120_b220_h650_px520_py520,UPDATE(duplicata)
a120_b220_h650_px520_py520,
a120_b240_h650_px520_py520,UPDATE(duplicata)
a120_b240_h650_px520_py520,
a120_b250_h650_px520_py520,UPDATE(duplicata)
a120_b250_h650_px520_py520,
a140_b120_h650_px520_py520,UPDATE(duplicata)
a140_b120_h650_px520_py520,
a140_b140_h650_px520_py520,UPDATE(duplicata)
a140_b140_h650_px520_py520,
a140_b160_h650_px520_py520,UPDATE(duplicata)
a140_b160_h650_px520_py520,
a140_b180_h650_px520_py520,UPDATE(duplicata)
a140_b180_h650_px520_py520,
a140_b200_h650_px520_py520,UPDATE(duplicata)
a140_b200_h650_px520_py520,
a140_b220_h650_px520_py520,UPDATE(duplicata)
a140_b220_h650_px520_py520,
a140_b240_h650_px520_py520,UPDATE(duplicata)
a140_b240_h650_px520_py520,
a140_b250_h650_px520_py520,UPDATE(duplicata)
a140_b250_h650_px520_py520,
a160_b120_h650_px520_py520,UPDATE(duplicata)
a160_b120_h650_px520_py520,
a160_b140_h650_px520_py520,UPDATE(duplicata)
a160_b140_h650_px520_py520,
a160_b160_h650_px520_py520,UPDATE(duplicata)
a160_b160_h650_px520_py520,
a160_b180_h650_px520_py520,UPDATE(duplicata)
a160_b180_h650_px520_py520,
a160_b200_h650_px520_py520,UPDATE(duplicata)
a160_b200_h650_px520_py520,
a160_b220_h650_px520_py520,UPDATE(duplicata)
a160_b220_h650_px520_py520,
a160_b240_h650_px520_py520,UPDATE(duplicata)
a160_b240_h650_px520_py520,
a160_b250_h650_px520_py520,UPDATE(duplicata)
a160_b250_h650_px520_py520,
a180_b120_h650_px520_py520,UPDATE(duplicata)
a180_b120_h650_px520_py520,
a180_b140_h650_px520_py520,UPDATE(duplicata)
a180_b140_h650_px520_py520,
a180_b160_h650_px520_py520,UPDATE(duplicata)
a180_b160_h650_px520_py520,
a180_b180_h650_px520_py520,UPDATE(duplicata)
a180_b180_h650_px520_py520,
a180_b200_h650_px520_py520,UPDATE(duplicata)
a180_b200_h650_px520_py520,
a180_b220_h650_px520_py520,UPDATE(duplicata)
a180_b220_h650_px520_py520,
a180_b240_h650_px520_py520,UPDATE(duplicata)
a180_b240_h650_px520_py520,
a180_b250_h650_px520_py520,UPDATE(duplicata)
a180_b250_h650_px520_py520,
a200_b120_h650_px520_py520,UPDATE(duplicata)
a200_b120_h650_px520_py520,
a200_b140_h650_px520_py520,UPDATE(duplicata)
a200_b140_h650_px520_py520,
a200_b150_h650,UPDATE(duplicata)
a200_b150_h650,
a200_b160_h650_px520_py520,UPDATE(duplicata)
a200_b160_h650_px520_py520,
a200_b180_h650_px520_py520,UPDATE(duplicata)
a200_b180_h650_px520_py520,
a200_b200_h650_px520_py520,UPDATE(duplicata)
a200_b200_h650_px520_py520,
a200_b220_h650_px520_py520,UPDATE(duplicata)
a200_b220_h650_px520_py520,
a200_b240_h650_px520_py520,UPDATE(duplicata)
a200_b240_h650_px520_py520,
a200_b250_h650_px520_py520,UPDATE(duplicata)
a200_b250_h650_px520_py520,
a220_b120_h650_px520_py520,UPDATE(duplicata)
a220_b120_h650_px520_py520,
a220_b140_h650_px520_py520,UPDATE(duplicata)
a220_b140_h650_px520_py520,
a220_b160_h650_px520_py520,UPDATE(duplicata)
a220_b160_h650_px520_py520,
a220_b180_h650_px520_py520,UPDATE(duplicata)
a220_b180_h650_px520_py520,
a220_b200_h650_px520_py520,UPDATE(duplicata)
a220_b200_h650_px520_py520,
a220_b220_h650_px520_py520,UPDATE(duplicata)
a220_b220_h650_px520_py520,
a220_b240_h650_px520_py520,UPDATE(duplicata)
a220_b240_h650_px520_py520,
a220_b250_h650_px520_py520,UPDATE(duplicata)
a220_b250_h650_px520_py520,
a240_b120_h650_px520_py520,UPDATE(duplicata)
a240_b120_h650_px520_py520,
a240_b140_h650_px520_py520,UPDATE(duplicata)
a240_b140_h650_px520_py520,
a240_b160_h650_px520_py520,UPDATE(duplicata)
a240_b160_h650_px520_py520,
a240_b180_h650_px520_py520,UPDATE(duplicata)
a240_b180_h650_px520_py520,
a240_b200_h650_px520_py520,UPDATE(duplicata)
a240_b200_h650_px520_py520,
a240_b220_h650_px520_py520,UPDATE(duplicata)
a240_b220_h650_px520_py520,
a240_b240_h650_px520_py520,UPDATE(duplicata)
a240_b240_h650_px520_py520,
a240_b250_h650_px520_py520,UPDATE(duplicata)
a240_b250_h650_px520_py520,
a250_b120_h650_px520_py520,UPDATE(duplicata)
a250_b120_h650_px520_py520,
a250_b140_h650_px520_py520,UPDATE(duplicata)
a250_b140_h650_px520_py520,
a250_b160_h650_px520_py520,UPDATE(duplicata)
a250_b160_h650_px520_py520,
a250_b180_h650_px520_py520,UPDATE(duplicata)
a250_b180_h650_px520_py520,
a250_b200_h650_px520_py520,UPDATE(duplicata)
a250_b200_h650_px520_py520,
a250_b220_h650_px520_py520,UPDATE(duplicata)
a250_b220_h650_px520_py520,
a250_b240_h650_px520_py520,UPDATE(duplicata)
a250_b240_h650_px520_py520,
a250_b250_h650_px520_py520,UPDATE(duplicata)
a250_b250_h650_px520_py520,
